"PeakName"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"annoFileCollapsed.seqnames"	"annoFileCollapsed.start"	"annoFileCollapsed.end"	"annoFileCollapsed.width"	"annoFileCollapsed.strand"	"annoFileCollapsed.id"	"annoFileCollapsed.tx_id"	"annoFileCollapsed.gene_id"	"annoFileCollapsed.symbol"	"annoFileCollapsed.type"	"annoFileCollapsed.UniqueRegion"	"annoFileCollapsed.UniqueRegionGene"	"annoFileCollapsed.UniqueRegionGeneType"	"annoFileCollapsed.GeneAnnoType"	"id"	"tx_id"	"gene_id"	"symbol"	"type"	"UniqueRegion"	"UniqueRegionGene"	"UniqueRegionGeneType"	"GeneAnnoType"	"NarrowPeak.seqnames"	"NarrowPeak.start"	"NarrowPeak.end"	"NarrowPeak.width"	"NarrowPeak.strand"	"NarrowPeak.PeakName"	"NarrowPeak.Score"	"NarrowPeak.Srand"	"NarrowPeak.Enrichment"	"NarrowPeak.pPvalue"	"NarrowPeak.pQvalue"	"NarrowPeak.OffsetFromStart"	"Score"	"Srand"	"Enrichment"	"pPvalue"	"pQvalue"	"OffsetFromStart"
"Peak_10000"	115.139391939834	-3.45032371927259	0.352041537610201	-9.80089946968977	1.11587503122547e-22	3.72268011177364e-20	"chr5"	3601518	4768620	1167103	"*"	"intergenic:4407"	NA	NA	NA	"hg19_genes_intergenic"	"chr5:3601518-4768620"	"chr5:3601518-4768620_NA"	"chr5:3601518-4768620_NA_hg19_genes_intergenic"	"NA_hg19_genes_intergenic"	"intergenic:4407"	NA	NA	NA	"hg19_genes_intergenic"	"chr5:3601518-4768620"	"chr5:3601518-4768620_NA"	"chr5:3601518-4768620_NA_hg19_genes_intergenic"	"NA_hg19_genes_intergenic"	"chr5"	4230177	4231805	1629	"*"	"Peak_10000"	1213	"."	6.63398	121.3343	118.27765	1047	1213	"."	6.63398	121.3343	118.27765	1047
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	915191	916190	1000	"+"	"promoter:27885"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_promoters"	"chr7:915191-916190"	"chr7:915191-916190_GET4"	"chr7:915191-916190_GET4_hg19_genes_promoters"	"GET4_hg19_genes_promoters"	"promoter:27885"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_promoters"	"chr7:915191-916190"	"chr7:915191-916190_GET4"	"chr7:915191-916190_GET4_hg19_genes_promoters"	"GET4_hg19_genes_promoters"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	916438	925692	9255	"+"	"intron:232214"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_introns"	"chr7:916438-925692"	"chr7:916438-925692_GET4"	"chr7:916438-925692_GET4_hg19_genes_introns"	"GET4_hg19_genes_introns"	"intron:232214"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_introns"	"chr7:916438-925692"	"chr7:916438-925692_GET4"	"chr7:916438-925692_GET4_hg19_genes_introns"	"GET4_hg19_genes_introns"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	905705	925692	19988	"+"	"intron:232197"	"uc003sjj.1"	"51608"	"GET4"	"hg19_genes_introns"	"chr7:905705-925692"	"chr7:905705-925692_GET4"	"chr7:905705-925692_GET4_hg19_genes_introns"	"GET4_hg19_genes_introns"	"intron:232197"	"uc003sjj.1"	"51608"	"GET4"	"hg19_genes_introns"	"chr7:905705-925692"	"chr7:905705-925692_GET4"	"chr7:905705-925692_GET4_hg19_genes_introns"	"GET4_hg19_genes_introns"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	916191	916282	92	"+"	"5UTR:39247"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_5UTRs"	"chr7:916191-916282"	"chr7:916191-916282_GET4"	"chr7:916191-916282_GET4_hg19_genes_5UTRs"	"GET4_hg19_genes_5UTRs"	"5UTR:39247"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_5UTRs"	"chr7:916191-916282"	"chr7:916191-916282_GET4"	"chr7:916191-916282_GET4_hg19_genes_5UTRs"	"GET4_hg19_genes_5UTRs"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	916191	916437	247	"+"	"exon:260112"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_exons"	"chr7:916191-916437"	"chr7:916191-916437_GET4"	"chr7:916191-916437_GET4_hg19_genes_exons"	"GET4_hg19_genes_exons"	"exon:260112"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_exons"	"chr7:916191-916437"	"chr7:916191-916437_GET4"	"chr7:916191-916437_GET4_hg19_genes_exons"	"GET4_hg19_genes_exons"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10004"	122.708838994611	-2.02826863084285	0.446141405696511	-4.54624611153574	5.46111745530819e-06	2.83213919811638e-05	"chr7"	911191	915190	4000	"+"	"1to5kb:27885"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_1to5kb"	"chr7:911191-915190"	"chr7:911191-915190_GET4"	"chr7:911191-915190_GET4_hg19_genes_1to5kb"	"GET4_hg19_genes_1to5kb"	"1to5kb:27885"	"uc003sjl.1"	"51608"	"GET4"	"hg19_genes_1to5kb"	"chr7:911191-915190"	"chr7:911191-915190_GET4"	"chr7:911191-915190_GET4_hg19_genes_1to5kb"	"GET4_hg19_genes_1to5kb"	"chr7"	915133	916783	1651	"*"	"Peak_10004"	1212	"."	6.15468	121.24473	118.18846	779	1212	"."	6.15468	121.24473	118.18846	779
"Peak_10026"	104.031450436678	-2.85981176040651	0.393143461031576	-7.27421932162526	3.4842951032049e-13	1.19593915813071e-11	"chr18"	72179768	72180793	1026	"+"	"intron:530342"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_introns"	"chr18:72179768-72180793"	"chr18:72179768-72180793_CNDP2"	"chr18:72179768-72180793_CNDP2_hg19_genes_introns"	"CNDP2_hg19_genes_introns"	"intron:530342"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_introns"	"chr18:72179768-72180793"	"chr18:72179768-72180793_CNDP2"	"chr18:72179768-72180793_CNDP2_hg19_genes_introns"	"CNDP2_hg19_genes_introns"	"chr18"	72178988	72180617	1630	"*"	"Peak_10026"	1209	"."	6.73102	120.93172	117.87685	790	1209	"."	6.73102	120.93172	117.87685	790
"Peak_10026"	104.031450436678	-2.85981176040651	0.393143461031576	-7.27421932162526	3.4842951032049e-13	1.19593915813071e-11	"chr18"	72179483	72179882	400	"+"	"intronexonboundary:554750"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_intronexonboundaries"	"chr18:72179483-72179882"	"chr18:72179483-72179882_CNDP2"	"chr18:72179483-72179882_CNDP2_hg19_genes_intronexonboundaries"	"CNDP2_hg19_genes_intronexonboundaries"	"intronexonboundary:554750"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_intronexonboundaries"	"chr18:72179483-72179882"	"chr18:72179483-72179882_CNDP2"	"chr18:72179483-72179882_CNDP2_hg19_genes_intronexonboundaries"	"CNDP2_hg19_genes_intronexonboundaries"	"chr18"	72178988	72180617	1630	"*"	"Peak_10026"	1209	"."	6.73102	120.93172	117.87685	790	1209	"."	6.73102	120.93172	117.87685	790
"Peak_10026"	104.031450436678	-2.85981176040651	0.393143461031576	-7.27421932162526	3.4842951032049e-13	1.19593915813071e-11	"chr18"	72179683	72179767	85	"+"	"exon:595615"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_exons"	"chr18:72179683-72179767"	"chr18:72179683-72179767_CNDP2"	"chr18:72179683-72179767_CNDP2_hg19_genes_exons"	"CNDP2_hg19_genes_exons"	"exon:595615"	"uc002llm.2"	"55748"	"CNDP2"	"hg19_genes_exons"	"chr18:72179683-72179767"	"chr18:72179683-72179767_CNDP2"	"chr18:72179683-72179767_CNDP2_hg19_genes_exons"	"CNDP2_hg19_genes_exons"	"chr18"	72178988	72180617	1630	"*"	"Peak_10026"	1209	"."	6.73102	120.93172	117.87685	790	1209	"."	6.73102	120.93172	117.87685	790
